prescription_text,label,clean_text,extracted_info,medicine_name
Tab Glycomet BD after meals,DO,tab glycomet twice daily after meals,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': []}",['glycomet']
Tab Glimepiride OD before breakfast,DO,tab glimepiride once daily before breakfast,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['before breakfast'], 'duration': []}",[]
Tab Ajaduo OD after dinner,DO,tab ajaduo once daily after dinner,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",['ajaduo']
Monitor blood sugar regularly,WARNING,monitor blood sugar regularly,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['monitor']
Do not skip meals,WARNING,do not skip meals,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid sugary foods,DONT,avoid sugary foods,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Exercise regularly,DO,exercise regularly,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Consult doctor if hypoglycemia occurs,WARNING,consult doctor if hypoglycemia occurs,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Amlodipine OD daily,DO,tab amlodipine once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
Tab Telmisartan OD in morning,DO,tab telmisartan once daily in morning,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
Tab Losartan OD daily,DO,tab losartan once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
Tab Atenolol OD in morning,DO,tab atenolol once daily in morning,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
Tab Acitrom OD at night,DO,tab acitrom once daily at night,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",['acitrom']
Monitor blood pressure daily,WARNING,monitor blood pressure daily,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['monitor']
Avoid salty food,DONT,avoid salty food,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not miss doses,WARNING,do not miss doses,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid smoking,DONT,avoid smoking,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Consult doctor if dizziness occurs,WARNING,consult doctor if dizziness occurs,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Cap Amoxicillin 250mg TDS after meals 5 days,DO,cap amoxicillin 250mg three times daily after meals 5 days,"{'dosage': ['250mg'], 'frequency': ['three times daily'], 'timing': ['after meals'], 'duration': ['5 days']}",[]
Cap Amoxicillin 500mg TDS after meals 5 days,DO,cap amoxicillin 500mg three times daily after meals 5 days,"{'dosage': ['500mg'], 'frequency': ['three times daily'], 'timing': ['after meals'], 'duration': ['5 days']}",[]
Tab Azithromycin OD daily 3 days,DO,tab azithromycin once daily daily 3 days,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': ['3 days']}",[]
Tab Ciprofloxacin BD after meals 5 days,DO,tab ciprofloxacin twice daily after meals 5 days,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': ['5 days']}",[]
Complete full course of antibiotics,WARNING,complete full course of antibiotics,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not stop medicine early,WARNING,do not stop medicine early,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid alcohol during antibiotic course,DONT,avoid alcohol during antibiotic course,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Cefixime BD after meals 5 days,DO,tab cefixime twice daily after meals 5 days,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': ['5 days']}",[]
Consult doctor if rash appears,WARNING,consult doctor if rash appears,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Take probiotics if advised,DO,take probiotics if advised,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab A to Z Woman OD daily,DO,tab a to z woman once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",['a to z woman']
Tab Absolut Woman OD daily,DO,tab absolut woman once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}","['absolut woman', 'absolut']"
Tab Iron Folic Acid OD daily,DO,tab iron folic acid once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",['folic']
Take after meals,DO,take after meals,"{'dosage': [], 'frequency': [], 'timing': ['after meals'], 'duration': []}",[]
Avoid tea or coffee with iron,DONT,avoid tea or coffee with iron,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Continue supplement for 30 days,WARNING,continue supplement for 30 days,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': ['30 days']}",[]
Consult doctor if nausea occurs,WARNING,consult doctor if nausea occurs,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Drink plenty of water,DO,drink plenty of water,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not overdose supplements,WARNING,do not overdose supplements,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Maintain balanced diet,DO,maintain balanced diet,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Alfusin OD at bedtime,DO,tab alfusin once daily at bedtime,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at bedtime'], 'duration': []}",['alfusin']
Tab Tamsulosin OD at night,DO,tab tamsulosin once daily at night,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",[]
Drink plenty of water,DO,drink plenty of water,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid holding urine,DONT,avoid holding urine,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not drive after first dose,WARNING,do not drive after first dose,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['first']
Consult doctor if dizziness occurs,WARNING,consult doctor if dizziness occurs,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Finasteride OD daily,DO,tab finasteride once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
Avoid alcohol,DONT,avoid alcohol,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Monitor urinary symptoms,WARNING,monitor urinary symptoms,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['monitor']
Follow up after 2 weeks,WARNING,follow up after 2 weeks,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Take medicine exactly as prescribed,WARNING,take medicine exactly as prescribed,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not crush or chew tablet,WARNING,do not crush or chew tablet,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['crush']
Store medicine in cool dry place,WARNING,store medicine in cool dry place,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Keep medicines away from children,WARNING,keep medicines away from children,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid self medication,DONT,avoid self medication,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Consult doctor if symptoms worsen,WARNING,consult doctor if symptoms worsen,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not take expired medicines,WARNING,do not take expired medicines,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Follow dietary advice strictly,WARNING,follow dietary advice strictly,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['advice']
Take medicine with water only,DO,take medicine with water only,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid driving if drowsy,WARNING,avoid driving if drowsy,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
